source_concept_code,ws_frequency
300025,959516
304002104,958305
1542101328,945741
1600100874,945366
1120100026,943830
303240,933304
16054,929707
304520,929609
21812,915590
3040105017,912391
303250,912035
400150,911787
3040104066,909149
1120100472,908702
302600,907213
3040104675,906812
1120100018,903904
3040104065,902755
304180,897158
3042500009,892155
303340,888372
3040104067,886361
400330,883780
30826,873394
7073550,867975
5200000001,858886
1120100047,846523
1797,845330
7085260,842628
303410,840675
3040102846,836851
1070100011,836828
7074000,826291
1120100283,815633
3041008093,814724
7073970,813156
304170,811174
30412000401,809649
315650,809467
3140000024,803999
1120100227,800523
3040104645,797082
1600100875,796147
3042500019,793639
3040102622,790760
3040104650,785992
12011,782471
7073520,782200
12086,781848
315760,778838
3040104654,776363
304510,774817
3040104655,773383
3040104658,772464
3040104659,769667
12013,764337
304000732,764276
1600100319,756921
30412000268,741568
400350,730285
1010010015,730120
1010010012,729750
1010010014,728215
1010010018,725492
1120000912,719821
3049112021,715659
3040111505,712270
12022,709298
1410000149,707884
3040111689,705973
303130,705158
3042500017,700215
1410000150,698258
1410000152,697098
1410000151,696956
3040100265,696921
3040100266,696899
1410000153,695509
3040100267,693598
3040100210,690803
340280,690441
304001400,688959
303150,688664
302400,687901
304127000,687550
304000997,684151
3042500038,676765
1600100876,675931
3041100003,669180
3042500039,665954
3040102841,661068
1600400100,660752
302610,660715
1180000006,659974
302410,654827
3040100270,649975
7871,648656
1120100060,647409
3041008154,646862
7073540,644621
302620,640313
302630,638855
3040104656,638765
3042400005,632913
1180000010,631887
1600100878,628496
1600100752,626308
3040127003,625951
3040102781,612987
304001787,611748
27064,611457
3042500010,609905
3040109304,608379
1315400118,607541
400170,607279
1600100877,599920
12023,598670
304001342,596509
304320031,595753
304002078,593338
3040109068,592822
7085590,591131
742608002,588351
3040103168,586998
3041008153,586382
3040103169,585680
7085420,583986
30828,581710
400340,579210
302680,578741
3041005001,576335
1180000005,573953
302690,573618
6874,572318
3049112020,565174
703210,564230
3040100004,561881
12017,561721
3041210115,560227
102,559822
70967830,559525
7096310,559089
364190,557749
7096770,551184
1120100233,549817
1600100021,548219
1120100072,547407
70967810,546487
1180000007,546097
1180000008,546083
1180000009,545794
11835,544597
1600100022,543516
301330,543291
21082,542164
3040101202,542006
1410000155,540780
3040102672,536564
7096300,536213
1510000001,533359
301620,531149
9800,531075
1600100024,524524
300024,522914
7061360,522547
3040101332,521382
7420000042,521210
3041210114,520111
400190,514020
3040102793,508149
3040109340,508121
2344,507493
1600100025,506190
19,505559
3040102607,505039
7096320,504337
400613,503998
1500006660,503297
3041900827,501511
3040111681,501169
301670,499312
301650,498447
396060,497379
7061400,497203
12024,494831
2280,494651
1020100253,493496
1120100234,492515
2279,491971
7096284,491179
316090,483135
3041001680,482249
450100,481736
1815,480268
3040102584,478999
1572879818,477064
3040104328,476031
7090730,474573
7090740,474533
7090720,474481
7090750,474456
7090760,474402
7090770,473449
7090780,472781
3041008072,472539
3041210112,471887
74273036502,470554
3040105613,468623
3040104021,467162
362060,466413
3040103966,465486
742608000,464591
3042500043,464101
301340,463885
3040101250,460992
1572879836,459738
3040102565,458982
3041008013,458136
1572879837,458109
742608001,457058
3040102586,456794
304913308,454347
3040001543,454004
1572879838,453528
3040104807,452326
301600,451933
301580,448616
3040102593,447775
1120100131,447385
304000578,447357
1570400748,443385
1570400758,443385
7070177,442607
331223,440951
304000291,440894
1120100051,440548
22558,440140
303740,439552
30829,439467
302420,438516
10701000016,437104
3041008003,436708
300122,436560
304001227,436107
300123,434260
304001061,433272
600646,432935
1500006661,432422
1307,431777
30412000107,431600
3041008050,431255
3040104647,428213
3041210113,428154
302480,426715
3040102594,426599
331208,426248
7070176,425891
400010,424130
7749,422285
30412000041,421652
30412000042,421435
3040102783,419108
400370,417527
3040105653,415179
302530,414930
3041008059,413715
3040102588,412463
7070180,411723
1120036002,410025
1120036005,408765
1120036003,408765
1120036001,408765
1120100468,408765
3040102583,408033
3040102587,406747
3040000509,404300
3040000510,404297
3040000502,404293
3040000508,404280
3040000507,404263
3040000506,404258
3040000505,404245
3040000504,404242
3040000503,404232
3040000501,404229
3040110197,403473
302510,403424
3041008058,403265
1120100469,401124
305020,398289
1572879832,397108
30412000109,396729
7080040,394669
3040102851,393840
1572879833,392078
10360,392065
3040104657,391858
600645,385478
3040102585,385386
10362,384880
302450,383996
1020100004,383242
301570,383236
1020100005,382199
3040104277,381023
30412000034,378781
1120100045,375354
304000076,373854
3040102673,373302
30409301360,371734
331213,371650
3041008057,370121
3040103184,370058
3040102859,368290
3040113334,368181
3040102596,367551
7085090,367392
7074320,366613
11848,363927
7081380,363781
30412000037,363138
3040102613,361224
7081390,359693
7420300901,358869
3041210250,358459
1570010001,358007
9859,357317
1120100000,357133
1120100002,356891
1120100003,356098
3040102860,355674
304000370,354706
304530,352040
400080,351775
3040103194,351022
1120100001,350847
7061220,350216
331218,348602
1217,348105
400643,346444
1120100057,343821
400642,343116
1450000007,340644
400070,340312
530570,340122
305610,338279
304000415,335704
350010,335017
3042400038,334967
1570010000,333737
1120100036,332773
400450,330101
12137,329771
1630100000,329500
12136,329356
12127,329138
505930,328792
12128,327786
400460,327471
3040104649,326891
7087390,326800
12309,326749
12139,326139
331198,325561
30401002101,323872
1570490087,323697
302700,323282
3040102788,323101
1020100488,323066
7096290,322765
74290000277,322440
1570490090,322359
1570490091,321734
1570490092,321464
3041008014,320964
1570490095,320951
1570490094,320939
1570490096,320830
12144,320829
1570490093,320668
1570490098,320538
1570490097,320483
1570490101,319943
1570490102,319805
1570490099,319736
1572879817,319320
1570490100,319292
316160,318706
1570490103,318616
300104,318496
1120000911,315830
1120000910,315696
304000035,314545
9843,314318
7087400,313915
7165,313131
3040100260,312965
7074010,312611
1570008805,311977
1570490088,311450
10408,311071
3041008002,310342
1572879820,309695
1572879821,308922
400550,308511
3040110644,307508
1150001899,307244
3040100544,306116
1120100228,304815
3040102639,304423
742608003,304158
3040100962,303534
30412000205,303086
7081400,302528
1500003007,302363
7097820,301734
30412000038,301720
400240,301653
505940,301056
3040111576,300436
304000325,300280
400100,299762
22,299707
3040111578,299533
400270,299153
7420000046,298797
3040110198,298303
3040108949,298263
1150001894,298233
1572879813,297870
304126918,296407
3040111579,296260
350060,295809
7420000080,295547
1570000018,294943
1570000075,294588
1570000019,294180
1570000020,293648
3040111580,293474
1570000022,293402
1570000021,293265
1570000023,293020
1570063157,290901
451040,288806
3041008026,287972
3042400124,287283
14348,287053
400644,286684
742022300,285665
304890,285605
1572879810,285321
3040127004,284699
304126919,282476
1180000601,280847
3040105057,280710
300020,279795
350020,279733
1120100113,278344
1120100118,278099
1120100129,278099
3041008049,277744
1572879823,277684
1120100116,277525
1120100114,277164
1120100115,277143
362050,275611
21080,275088
1570030200,274330
7420201498,273123
451050,272511
30412000035,272463
30412000036,272212
30412000033,271969
7420201499,271635
21081,271612
15725,271438
30412000032,271302
30412000045,269137
1120100147,268544
3040103249,268060
1120100152,268059
304002050,267701
304220002,266555
705,266478
1120100117,265960
331253,265904
304000742,265755
1120100120,265354
1572879830,263605
1120100136,263454
30412000031,262748
3040101311,261462
7080741,261401
22559,261312
1020100822,261036
1020100914,260446
301590,260339
451060,260281
2533,258594
10330,257690
7420000089,256562
74202219,256562
3040102810,255954
3042022002,255601
3041210225,255303
331288,255124
1120100137,251957
1180000600,251653
304001615,251559
21772,250858
3040100258,250242
3041000200,249961
3040109159,249448
30412000087,248611
1570400213,248422
1570400214,247426
1570008810,246016
3041210105,245501
304350,245436
7420000094,245268
3040110752,245000
1500003580,244765
304002254,244455
7400222008,240184
7080743,238250
30412000040,238087
27576,236915
304012761,236741
30420001,236343
1572879812,235031
1572879815,234820
1572879814,234695
301280,234600
3040109164,234350
3040109930,233628
3040127000,233037
1570400215,232073
3040111676,231076
1570400216,231023
1570400217,230631
742404704,230589
