session_id,project_name,created,modified,model,message_count,user_messages,assistant_messages,user_chars,user_words,assistant_chars,assistant_words,total_chars,total_words,tool_calls,agent_tool_calls,clinical_subagents,non_clinical_subagents
53ac910c-d0f6-43f8-809f-aefe9e58014b,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-04T05:25:08.352Z,2026-03-04T07:10:59.317Z,claude-opus-4-6,741,341,390,406084,38173,163657,18538,569741,56711,321,3,3,0
agent-ad82879f2c9f195e4,subagents,2026-03-04T05:25:16.134Z,2026-03-04T05:27:43.422Z,claude-haiku-4-5-20251001,54,24,30,60212,5448,11627,1264,71839,6712,23,0,0,0
agent-a47bd57130bc7efc4,subagents,2026-03-04T06:40:38.070Z,2026-03-04T06:45:58.951Z,claude-opus-4-6,153,67,86,213336,13615,37430,4820,250766,18435,66,0,0,0
agent-acompact-e3923fb23950b323,subagents,2026-03-04T06:46:16.985Z,2026-03-04T06:48:02.672Z,claude-opus-4-6,3,2,1,5735,834,16316,2038,22051,2872,0,0,0,0
agent-a97a4f7ac121b6695,subagents,2026-03-04T06:49:17.204Z,2026-03-04T06:53:59.304Z,claude-opus-4-6,51,22,29,190823,11240,33791,5675,224614,16915,21,0,0,0
ec68e8ab-1994-4e9e-a875-b8fe8486670a,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-04T13:48:02.486Z,2026-03-04T14:34:36.878Z,claude-opus-4-6,345,152,186,185231,15709,98947,12416,284178,28125,129,0,0,0
b76fb308-f683-42d1-8eee-9cbd3ac8b049,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-04T14:51:53.277Z,2026-03-04T19:19:14.649Z,claude-opus-4-6,100,46,51,173755,23729,86417,11502,260172,35231,16,3,3,0
agent-ac7780f4aa96980c3,subagents,2026-03-04T17:43:40.444Z,2026-03-04T17:43:56.651Z,claude-haiku-4-5-20251001,11,5,6,24996,2634,4924,659,29920,3293,4,0,0,0
agent-a19f33ca6c3d3e33d,subagents,2026-03-04T17:43:48.631Z,2026-03-04T17:49:59.219Z,claude-opus-4-6,44,21,23,40588,4745,20407,2520,60995,7265,20,0,0,0
agent-a38dd88960c623eaf,subagents,2026-03-04T17:50:40.141Z,2026-03-04T18:01:30.807Z,claude-opus-4-6,105,45,60,124773,9923,72773,8521,197546,18444,44,0,0,0
b16c4cf8-905c-42e7-a5ae-5b3c9b84f7e5,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-04T19:19:14.447Z,2026-03-05T06:29:54.411Z,claude-opus-4-6,893,380,494,413258,38697,235705,23788,648963,62485,329,1,1,0
agent-acompact-4d59c282810a6483,subagents,2026-03-04T22:30:18.971Z,2026-03-04T22:32:16.865Z,claude-opus-4-6,4,2,2,5275,797,28460,3594,33735,4391,1,0,0,0
agent-a525694800c471f7b,subagents,2026-03-05T05:36:04.576Z,2026-03-05T05:37:05.322Z,claude-opus-4-6,37,16,21,10825,1267,7194,712,18019,1979,15,0,0,0
eecd60ea-9ac6-437b-adec-e049ce8db958,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-05T06:40:18.767Z,2026-03-05T16:39:04.109Z,claude-opus-4-6,752,306,431,518771,44121,243408,24394,762179,68515,265,1,1,0
agent-acompact-220d61d0e96edf70,subagents,2026-03-05T07:25:36.489Z,2026-03-05T07:27:19.354Z,claude-opus-4-6,2,1,1,5145,790,18295,2152,23440,2942,0,0,0,0
agent-aad58e3c0653317cc,subagents,2026-03-05T07:52:33.843Z,2026-03-05T07:53:32.741Z,claude-opus-4-6,53,22,31,7738,939,4900,474,12638,1413,21,0,0,0
219f0563-a5dc-4bed-b494-b59d7e9dd4cb,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-05T16:50:45.924Z,2026-03-05T17:28:14.613Z,claude-opus-4-6,350,151,194,204212,16373,125522,11792,329734,28165,140,0,0,0
deb60ca1-b8fe-4285-9a57-63c33671fd94,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-05T17:28:22.141Z,2026-03-05T19:44:16.345Z,claude-opus-4-6,489,197,284,515067,47738,153458,16692,668525,64430,181,0,0,0
35388726-c6b9-4431-97cf-e71ef075c8b7,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-05T17:31:31.766Z,2026-03-06T12:45:53.984Z,claude-opus-4-6,374,158,203,246032,19437,153695,17087,399727,36524,105,0,0,0
agent-acompact-ca4cc2f7fb346821,subagents,2026-03-05T18:10:04.385Z,2026-03-05T18:11:44.222Z,claude-opus-4-6,4,2,2,5209,795,19050,2441,24259,3236,1,0,0,0
5ffdb36e-4717-4f94-8ce2-6b04dd46a24f,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-05T19:44:40.418Z,2026-03-06T12:24:05.572Z,claude-opus-4-6,890,376,485,1608419,150066,355592,40054,1964011,190120,302,10,10,0
agent-acompact-f5cf6f916b8388e1,subagents,2026-03-06T10:24:34.599Z,2026-03-06T10:25:58.456Z,claude-opus-4-6,4,2,2,5277,797,14941,2095,20218,2892,1,0,0,0
e63d482c-67c6-4c18-b669-90bb8c84ae1f,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T10:41:10.692Z,2026-03-06T10:41:10.692Z,,2,0,0,0,0,0,0,0,0,0,0,0,0
agent-ac393047a01ab034a,subagents,2026-03-06T11:05:58.596Z,2026-03-06T11:07:31.671Z,claude-opus-4-6,10,4,6,54615,4613,18171,2116,72786,6729,3,0,0,0
agent-acompact-d696c5377034f398,subagents,2026-03-06T11:05:58.617Z,2026-03-06T11:07:28.594Z,claude-opus-4-6,2,1,1,5145,790,15192,2016,20337,2806,0,0,0,0
