session_id,project_name,created,modified,model,message_count,user_messages,assistant_messages,user_chars,user_words,assistant_chars,assistant_words,total_chars,total_words,tool_calls,agent_tool_calls,clinical_subagents,non_clinical_subagents
agent-a13bf99d94e9f7a5d,subagents,2026-03-06T15:04:51.859Z,2026-03-06T15:08:32.271Z,claude-opus-4-6,145,69,76,78110,6904,36049,3858,114159,10762,68,0,0,0
agent-a6b3bc7693b714ae4,subagents,2026-03-06T15:05:08.417Z,2026-03-06T15:10:37.968Z,claude-opus-4-6,158,74,84,99900,9358,57559,6506,157459,15864,73,0,0,0
agent-ab78d4ff0f4ff48c4,subagents,2026-03-06T15:05:21.498Z,2026-03-06T15:08:35.112Z,claude-opus-4-6,134,63,71,72040,6172,28226,2948,100266,9120,62,0,0,0
agent-a97e6e20dac0f9d0a,subagents,2026-03-06T15:05:34.413Z,2026-03-06T15:09:10.248Z,claude-opus-4-6,134,63,71,77329,6974,34732,3697,112061,10671,62,0,0,0
agent-a967d6a4c11047d43,subagents,2026-03-06T15:05:49.579Z,2026-03-06T15:08:51.249Z,claude-opus-4-6,114,54,60,69940,6293,29315,3080,99255,9373,53,0,0,0
agent-ab1ca69b06d79e164,subagents,2026-03-06T15:06:05.218Z,2026-03-06T15:09:13.403Z,claude-opus-4-6,126,58,68,73318,7106,24705,2564,98023,9670,57,0,0,0
0676a85c-ec5a-47b2-8103-51a391fd469e,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T15:28:07.075Z,2026-03-06T15:31:07.234Z,claude-opus-4-6,9,6,3,626,64,1713,261,2339,325,0,0,0,0
94c7cef6-73c7-49f8-993a-4eac5ff88cb1,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T15:36:08.780Z,2026-03-06T15:55:09.355Z,claude-opus-4-6,107,49,56,114958,14809,43854,5624,158812,20433,31,11,11,0
agent-a32014d2cf4db60c5,subagents,2026-03-06T15:36:51.235Z,2026-03-06T15:39:00.970Z,claude-opus-4-6,103,47,56,147099,15336,11683,1046,158782,16382,46,0,0,0
agent-a806343bf43cb7299,subagents,2026-03-06T15:39:38.416Z,2026-03-06T15:42:23.075Z,claude-opus-4-6,83,37,46,69034,6894,26677,3327,95711,10221,36,0,0,0
agent-a2f456237b90fb327,subagents,2026-03-06T15:39:47.298Z,2026-03-06T15:42:39.053Z,claude-opus-4-6,76,34,42,63261,6136,27274,3150,90535,9286,33,0,0,0
agent-a7c7b02db17789d43,subagents,2026-03-06T15:39:55.735Z,2026-03-06T15:42:15.812Z,claude-opus-4-6,81,38,43,54241,5057,24364,2702,78605,7759,37,0,0,0
agent-abcf59733127bb026,subagents,2026-03-06T15:40:05.653Z,2026-03-06T15:45:25.299Z,claude-opus-4-6,201,90,111,158299,15186,39862,4706,198161,19892,89,0,0,0
agent-ad6d92c28d26b532f,subagents,2026-03-06T15:40:14.782Z,2026-03-06T15:45:19.379Z,claude-opus-4-6,200,89,111,148419,15279,36844,4276,185263,19555,88,0,0,0
agent-abfbb21573b33c6c9,subagents,2026-03-06T15:40:43.425Z,2026-03-06T15:41:52.533Z,claude-opus-4-6,53,23,30,145762,16166,6062,582,151824,16748,22,0,0,0
agent-ac58d9b6a278305f7,subagents,2026-03-06T15:40:51.347Z,2026-03-06T15:42:22.448Z,claude-opus-4-6,49,21,28,131353,13077,10318,1094,141671,14171,20,0,0,0
agent-acf4b8dbb70dba48a,subagents,2026-03-06T15:40:58.608Z,2026-03-06T15:42:03.520Z,claude-opus-4-6,42,18,24,148805,14935,5678,580,154483,15515,17,0,0,0
agent-ab4bab14e2fbe70c4,subagents,2026-03-06T15:41:06.072Z,2026-03-06T15:42:17.438Z,claude-opus-4-6,46,19,27,157570,17817,6252,612,163822,18429,18,0,0,0
agent-a757a7e7e6a1d6900,subagents,2026-03-06T15:41:13.329Z,2026-03-06T15:42:29.067Z,claude-opus-4-6,43,19,24,134589,17158,5505,494,140094,17652,18,0,0,0
fd1f96a5-0033-42c7-a572-8354e4ad792e,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T15:56:20.231Z,2026-03-06T17:00:04.164Z,claude-opus-4-6,117,45,65,74113,7873,67154,6586,141267,14459,32,2,0,2
agent-aae23dfd3799cdd79,subagents,2026-03-06T16:46:00.074Z,2026-03-06T16:47:41.467Z,claude-haiku-4-5-20251001,82,30,52,111758,9326,12398,1279,124156,10605,29,0,0,0
agent-ace26f346d64837c1,subagents,2026-03-06T16:57:53.820Z,2026-03-06T16:58:17.785Z,claude-haiku-4-5-20251001,34,13,21,61401,4122,4389,451,65790,4573,12,0,0,0
