source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
7096674,Temp Alarm Limit High,C0060.00,A,temperature,,Observation,0,,numeric,,,,,IP NICU DAILY CARES/SAFETY,Cardiac Alarm Limits,1
1500006040,Missed Therapy Minutes,C0447.00,A,,,Measurement,0,,numeric,,0,,,LTC PT ACTUAL MINUTES|LTC PT MINUTES,Actual Co-Treatment Therapy Minutes|Actual Physical Therapy Minutes,2
7420304018,My cough has made me feel anxious.,C0047.00,A,cough,,Observation,0,,custom_list,,,,All the time|Most of the time|A good bit of the time|Some of the time|A little of the time|Hardly any of the time|None of the time,T EHC RHB LEICESTER COUGH QUESTIONNAIRE LCQ,Leicester Cough Questionnaire (LCQ) - In the last two weeks…,1
1570637890,"Eyes Open, Foam Surface - Trial 2 (sec)",C0447.00,A,,,Measurement,0,,numeric,sec,0,600,,BESTEST - BALANCE EVALUATION SYSTEMS TEST|REHAB OP PT FUNCTIONAL ASSESSMENT BALANCE TESTS,V. Sensory Orientation,2
3040102771,Neuro Additional Assessments,C0003.00,A,neuro_general,,Observation,0,,custom_list,,,,Glasgow Coma Scale|Glasgow Coma Scale|NIH Stroke Scale|NIH Stroke Scale|Modified Rankin|Modified Rankin|Cranial nerves|Cranial nerves|Cervical spine|Cervical spine|Lumbosacral spine|Lumbosacral spine|Train of four|Pupillometer|Train of four|ICE Scale|ICE Scale|Continous EEG monitoring,IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Neurological,6
4080000382,Initial Dose (units/kg/hr),C0078.00,A,heart_rate,,Observation,0,,string,,,,,RX HEPARIN MAR CALCULATOR FLOWSHEET DOCUMENTATION NAV,Initial Dose - to start heparin treatment protocol,1
1180102375,RV Oufl Saturation O2-Sat,C0447.00,A,,,Measurement,0,,numeric,,,,,CV SENSIS HEMO,Saturations,1
1180101309,Aortic Artery Pullback Outflow Extended Systolic Pressure,C0447.00,A,,,Measurement,0,,numeric,mmHg,,,,CV XPER HEMO,Aortic Artery Pullback Outflow Extended Pressure Measurements,1
304001557,Memory FIM Goal (OT-IRF),C0027.00,A,memory,,Observation,0,,custom_list,,,,Score of 7 (FIM)|Score of 7 (FIM)|Score of 6 (FIM)|Score of 6 (FIM)|Score of 5 (FIM)|Score of 5 (FIM)|Score of 4 (FIM)|Score of 4 (FIM)|Score of 3 (FIM)|Score of 3 (FIM)|Score of 2 (FIM)|Score of 2 (FIM)|Score of 1 (FIM)|Score of 1 (FIM)|other (see comments)|other (see comments),CPM S24 IRF GOAL SUMMARY|ZZZ CPM S21 IRF GOAL SUMMARY,Memory FIM Goal (OT-IRF),2
1400000131,Is this patient producing sputum or phlegm?,C0016.00,A,sputum,,Observation,0,,numeric,,,,,COVID-19 MONITORING|ED COVID-19 ASSESSMENT|MYC - DT - COVID-19 FLOWSHEET TEMPLATE,COVID-19 Assessment|COVID-19 Monitoring|GROUP FOR COVID-19,3
1510000424,Freemotion Low-High Wood Chop Reps/Sets/Weight,C0131.00,A,weight,,Observation,0,,string,,,,,IP REHAB EXERCISES,Lumbar Exercises,1
1500006280,L Shoulder PROM Internal Rotation,C0447.00,A,,,Measurement,0,,numeric,,,,,PT SHOULDER ASSESSMENT,Left Shoulder Passive Range of Motion,1
304911055,6) Severe Cognitive Decline (Middle Demential),C0040.00,A,cognition,,Observation,0,,custom_list,,,,"Unable to recall most recent events|Repetitiveness|Removes or does not wear clothing appropriately|Refuses to change clothing|Bathing problems|Feeds self with set-up, cues or assist|Sleep-wake cycle disturbances|Catastrophic reactions|Great resistance to caregiving|Purposeless wandering|Cannot complete two-step commands",T EHC SW GLOBAL DETERIORATION SCALE FOR DEMENTIA,Clinical Characteristics,1
16879,#2 Bahia Grass (W/F in millimeters),C0447.00,A,,,Measurement,0,,numeric,,,,,AMB ALG ALLERGY TESTING|AMB ALG INTRADERMAL TESTING,Panel C Intra,2
10299,SVHI-10,C0447.00,A,,,Measurement,0,,numeric,,0,40,,VOICE QUALITY OF LIFE SCORES,Voice Quality of Life Scores,1
1180104335,Right Ventricular Outflow Tract pO2,C0447.00,A,,,Measurement,0,,numeric,%,,,,CV XPER HEMO,Extended pO2 Measurements,1
17591,3.17b Rest Tremor - LUE,C0011.00,A,tremor,,Observation,0,,custom_list,,,,Normal: No tremor.|Slight: < 1 cm in maximal amplitude.|Mild: At least 1 cm but < 3 cm in maximal amplitude.|Moderate: At least 3 cm but < 10 cm in maximal amplitude.|Severe: At least 10 cm in maximal amplitude.,T EHC AMB NEURO MDS-UPDRS|T EHC AMB NEURO MDS-UPDRS PART 3,PART III: Motor Examination,2
1570630691,Right Shoulder Internal Rotation 0 Degrees Passive Range of Motion,C0447.00,A,,,Measurement,0,,numeric,,-360,360,,REHAB OP SHOULDER EVAL|REHAB OP SHOULDER RANGE OF MOTION,Right Shoulder Internal Rotation 0 Degrees Range of Motion,2
27839,PSG REM latency,C0447.00,A,,,Measurement,0,,numeric,,,,,T EHC AMB SLEEP PHYSICIAN ADJUDICATION,Physician Entered Data,1
742231111,MAP (mmHg) - Sitting,C0447.00,A,,,Measurement,0,,numeric,,0,,,EHC ACUTE SLP EVAL RESPIRATORY AND VITALS NAV|EHC IP PT ORTHOSTATIC VS ORTHO NAV|EHC PT CARDIOPULMONARY NAV|EHC RHB IP OT EVALUATION|EHC RHB IP OT TREATMENT|EHC RHB IRF OT EVALUATION|EHC RHB IRF OT TREATMENT|EHC RHB IRF PT EVALUATION|EHC RHB IRF PT TREATMENT|EHC RHB IRF SLP EVALUATION|EHC RHB IRF SLP TREATMENT|EHC RHB TR EVALUATION|EHC RHB TR TREATMENT|RHB IP PT EVALUATION|RHB IP PT TREATMENT|RHB IP SLP EVAL|RHB IP SLP TREATMENT|RHB OP SLP EVAL,Orthostatic Vital SIgns|Rehab Orthostatic Vital Signs,18
3049111209,Matching words to pictures (32),C0447.00,A,,,Measurement,0,,numeric,,,,,T EHC IP SPEECH MINNESOTA TEST FOR THE DIFFERENTIAL DIAGNOSIS OF APHASIA (MTDDA),Visual and Reading Disturbances,1
742730098,Tip to Tip 3 (lbs),C0447.00,A,,,Measurement,0,,numeric,lbs,,,,HAND THERAPY ASSESSMENT|OT HAND THERAPY ASSESSMENT NAV,Left Hand Strength - Pinch (lbs),2
2100001695,Chronic pain timing:,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,Intermittent|Constant,HP GENERAL CARE MANAGEMENT,General Care Management,1
1500006824,Get Up and Go (sec),C0447.00,A,,,Measurement,0,,numeric,sec,,,,BESTEST - BALANCE EVALUATION SYSTEMS TEST,VI. Stability in Gait,1
154300472,Pain Pump,C0101.00,A,pain_general,,Observation,0,,numeric,,0,,,EHC BH PAT BELONG ALL|EHC BH PATIENT BELONGINGS SAFE NAV,Belongings Sent to Safe,2
1180147338,LRVOC pO2,C0447.00,A,,,Measurement,0,,numeric,mmHg,,,,CV HEMODYNAMIC,Blood Oximetry Information,1
