source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,omop_domain
1020100862,Variability in Waveform for Non-Stress Test 2,C0084.00,A,fetal_variability,Observation
1020100878,Baseline Fetal Heart Rate for Non-Stress Test 2,C0078.00,A,heart_rate,Observation
1020100879,Baseline Fetal Heart Rate for Non-Stress Test 3,C0078.00,A,heart_rate,Observation
1020100880,Baseline Fetal Heart Rate for Non-Stress Test 4,C0078.00,A,heart_rate,Observation
1020100881,Baseline Fetal Heart Rate for Non-Stress Test 5,C0078.00,A,heart_rate,Observation
1020100882,Amniotic Fluid Volume (cm) for Non-Stress Test 2,C0447.00,A,,Measurement
1020100883,Amniotic Fluid Volume (cm) for Non-Stress Test 3,C0447.00,A,,Measurement
1020100884,Amniotic Fluid Volume (cm) for Non-Stress Test 4,C0447.00,A,,Measurement
1020100885,Amniotic Fluid Volume (cm) for Non-Stress Test 5,C0447.00,A,,Measurement
1020100904,Urine Protein,C0076.00,A,urine,Observation
1020100910,Donor Breast Milk - P.O. (mL),C0447.00,A,,Measurement
1020100911,Donor Breast Milk - Tube (mL),C0447.00,A,,Measurement
1020100914,Formula - P.O. (mL),C0447.00,A,,Measurement
1020100915,Formula - Tube (mL),C0447.00,A,,Measurement
1020100916,Substituted Item 1 (Number Used),C0447.00,A,,Measurement
1020100917,Substituted Item 2 (Number Used),C0447.00,A,,Measurement
1020100918,Substituted Item 1 Dry Weight (g),C0131.00,A,weight,Observation
1020100919,Substituted Item 2 Dry Weight (g),C0131.00,A,weight,Observation
1020100941,Surgical Delivery Estimated Blood Loss (mL),C0447.00,A,,Measurement
1020100942,Quantitative Blood Loss - Surgical (mL),C0447.00,A,,Measurement
1020100943,Total Blood Loss - Surgical Delivery (mL),C0447.00,A,,Measurement
1020100946,Substituted Item 1 (Number Used),C0447.00,A,,Measurement
1020100947,Substituted Item 2 (Number Used),C0447.00,A,,Measurement
1020100948,Substituted Item 1 Dry Weight (g),C0131.00,A,weight,Observation
1020100949,Substituted Item 2 Dry Weight (g),C0131.00,A,weight,Observation
1020100952,Is the patient actively bleeding enough to soak >1 pad/hr or passing large clot (>=6cm)?,C0078.00,A,heart_rate,Observation
10243,Information Content,C0447.00,A,,Measurement
10244,Fluency,C0447.00,A,,Measurement
10245,Spontaneous Speech Total,C0075.00,A,speech,Observation
10247,Yes/No Questions,C0447.00,A,,Measurement
10248,Auditory Word Recognition,C0447.00,A,,Measurement
10249,Sequential Commands,C0447.00,A,,Measurement
10250,Verbal Comprehension Score (Aphasia Quotient),C0447.00,A,,Measurement
10252,Repetition Total,C0447.00,A,,Measurement
10255,Repetition Score,C0447.00,A,,Measurement
10260,Object Naming,C0447.00,A,,Measurement
10261,Word Fluency,C0447.00,A,,Measurement
10262,Sentence Completion,C0447.00,A,,Measurement
10263,Responsive Speech,C0075.00,A,speech,Observation
10264,Naming and Word Finding Score,C0447.00,A,,Measurement
10266,Aphasia Quotient,C0447.00,A,,Measurement
10268,Reading,C0447.00,A,,Measurement
10269,Writing,C0447.00,A,,Measurement
10270,Total,C0447.00,A,,Measurement
10272,Drawing,C0447.00,A,,Measurement
10273,Block Design,C0447.00,A,,Measurement
10274,Calculations,C0447.00,A,,Measurement
10275,Raven's Colored Progressive Matrices,C0447.00,A,,Measurement
10276,"Construction, Visuospatial, and Calculation Score",C0447.00,A,,Measurement
10288,Stoma Size (mm),C0447.00,A,,Measurement
10294,VHI-10,C0447.00,A,,Measurement
10295,RSI,C0447.00,A,,Measurement
10296,DSI,C0447.00,A,,Measurement
10297,CSI,C0447.00,A,,Measurement
10298,EAT,C0447.00,A,,Measurement
10299,SVHI-10,C0447.00,A,,Measurement
10305,Sleep apnea pre-surgery,C0097.00,A,apnea,Observation
10306,Sleep apnea post-surgery,C0097.00,A,apnea,Observation
10338,Do you have a history of Anxiety?,C0068.00,A,anxiety,Observation
10353,Understandability of Speech,C0075.00,A,speech,Observation
10371,Amount Out - Blood,C0447.00,A,,Measurement
10372,Amount In - Blood,C0447.00,A,,Measurement
10375,Total Amount Out - Blood,C0447.00,A,,Measurement
10376,Total Amount In - Blood,C0447.00,A,,Measurement
1041147,Component 6: Initiation of Pharyngeal Swallow,C0067.00,A,swallowing,Observation
