source_concept_code,source_description,fca_concept_id,reason,intent,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
3041001625,Making physical sexual advances,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Aggressive,1
3041001627,"Pace, aimless wandering",C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001628,Inappropriate dress or disrobing,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001629,Trying to get to a different place,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001630,Intentional falling,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001631,Eating/drinking inappropriate substance,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001632,Handling things inappropriately,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001633,Hiding things,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001634,Hoarding things,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001635,Performing repetitive mannerisms,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001636,Restlessness,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Physical/Non-Aggressive,1
3041001638,Screaming,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Verbal/Aggressive,1
3041001639,Making verbal sexual advances,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Verbal/Aggressive,1
3041001640,Cursing or verbal aggression,C0000.00,no_clinical_attributes,,custom_list,,,,Never|Less than once a week|Once or twice a week|Several times a week|Once or twice a day|Several times a day|Several times an hour,IP COHEN MANSFIELD AGITATION INVENTORY,Verbal/Aggressive,1
