source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1010010015,Circulation (WDL),C0335.00,A,wdl_screening,,Observation,0,,custom_list,,,,Within Defined Limits|Exceptions to WDL,ED PRIMARY ASSESSMENT|ED PRIMARY ASSESSMENT PEDS,Circulation,2
1010010018,Disability (WDL),C0335.00,A,wdl_screening,,Observation,0,,custom_list,,,,Within Defined Limits|Exceptions to WDL,ED PRIMARY ASSESSMENT|ED PRIMARY ASSESSMENT PEDS,Disability,2
1010010022,Sudden Onset of Severe Headache?,C0137.00,A,headache,,Observation,0,,custom_list,,,,Yes|No,ED PRIMARY ASSESSMENT|ED PRIMARY ASSESSMENT PEDS,Disability,2
1020000001,Item 8 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000002,Item 9 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000003,Item 10 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000004,Total Wet Weight (g),C0131.00,A,weight,,Observation,0,,numeric,,10,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Quantitative Blood Loss - Delivery (From Total Wet Weight Entry),1
1020000007,Item 1 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000008,Item 2 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000009,Item 3 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000010,Item 4 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000011,Item 5 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000012,Item 6 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000013,Item 7 (Number Used),C0447.00,A,,,Measurement,0,,numeric,,0,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR - SURGICAL DELIVERY,Items,1
1020000301,Headache Present,C0137.00,A,headache,,Observation,0,,custom_list,,,,Yes|No,EHC IP OB ANTEPARTUM ASSESSMENT ROVER|IP OB ANTEPARTUM ASSESSMENT|OB PHYSICAL ASSESSMENT NAV,Preeclampsia Screening,3
